wavelen(SW)	freq(SW)	N60	WIDE-S	wavelen(LW)	freq(LW)	WIDE-L	N160
200.54	1.4949e+12	0.0000	0.0000	222.22	1.3491e+12	0.0000	0.0000
192.73	1.5555e+12	0.0000	0.0000	219.76	1.3642e+12	0.0000	0.0000
185.51	1.6160e+12	0.0000	0.0000	217.34	1.3793e+12	0.0000	0.0000
178.81	1.6766e+12	0.0000	0.0000	214.98	1.3945e+12	0.0000	0.0000
172.57	1.7372e+12	0.0000	0.0000	212.67	1.4096e+12	0.0000	0.0000
166.76	1.7977e+12	0.0000	0.0000	210.41	1.4248e+12	0.0027219	0.0000
161.33	1.8583e+12	0.0000	0.0000	208.20	1.4399e+12	0.0084500	0.0000
156.23	1.9189e+12	0.0000	0.0000	206.04	1.4550e+12	0.016992	0.0000
151.45	1.9794e+12	0.0000	0.0000	203.91	1.4702e+12	0.026791	0.0000
146.96	2.0400e+12	0.0000	0.0000	201.83	1.4853e+12	0.041966	0.0034189
142.72	2.1006e+12	0.0000	9.8058e-06	199.80	1.5005e+12	0.053587	0.028281
138.72	2.1611e+12	0.0000	0.00021974	197.80	1.5156e+12	0.065990	0.068730
134.94	2.2217e+12	0.0000	0.00060386	195.85	1.5307e+12	0.078098	0.11220
131.36	2.2822e+12	0.0000	0.00083043	193.93	1.5459e+12	0.092728	0.13781
127.96	2.3428e+12	0.0000	0.0015588	192.05	1.5610e+12	0.11506	0.15282
124.74	2.4034e+12	0.0000	0.0052487	190.20	1.5762e+12	0.13633	0.16170
121.67	2.4639e+12	0.0000	0.014744	188.39	1.5913e+12	0.17824	0.15747
118.75	2.5245e+12	0.0000	0.033900	186.62	1.6065e+12	0.25147	0.17230
115.97	2.5851e+12	0.0000	0.075502	184.87	1.6216e+12	0.32151	0.20166
113.31	2.6456e+12	0.0000	0.15016	183.16	1.6367e+12	0.31284	0.27140
110.78	2.7062e+12	0.0000	0.26518	181.48	1.6519e+12	0.29195	0.37952
108.35	2.7668e+12	0.0000	0.53055	179.84	1.6670e+12	0.31435	0.42320
106.03	2.8273e+12	0.0000	0.85271	178.22	1.6822e+12	0.42868	0.49845
103.81	2.8879e+12	0.00071326	1.0742	176.63	1.6973e+12	0.60846	0.57938
101.68	2.9485e+12	0.0029936	1.2052	175.07	1.7124e+12	0.62875	0.62776
99.630	3.0090e+12	0.0015841	1.1995	173.53	1.7276e+12	0.55359	0.65894
97.664	3.0696e+12	0.0040804	1.1627	172.02	1.7427e+12	0.53831	0.71464
95.775	3.1302e+12	0.0049678	1.1476	170.54	1.7579e+12	0.55254	0.79466
93.957	3.1907e+12	0.00051591	1.0521	169.09	1.7730e+12	0.56859	0.84437
92.206	3.2513e+12	0.0015406	1.0142	167.65	1.7881e+12	0.59429	0.89813
90.520	3.3119e+12	0.0045456	0.99951	166.25	1.8033e+12	0.59552	0.91746
88.895	3.3724e+12	0.0045075	0.98781	164.86	1.8184e+12	0.61846	0.90574
87.326	3.4330e+12	0.0026523	1.0023	163.50	1.8336e+12	0.65930	0.94494
85.812	3.4936e+12	0.0040412	1.0144	162.16	1.8487e+12	0.69283	0.98238
84.350	3.5541e+12	0.018444	0.96685	160.84	1.8638e+12	0.75023	1.0022
82.937	3.6147e+12	0.051025	0.85727	159.55	1.8790e+12	0.83668	0.99885
81.570	3.6752e+12	0.098515	0.69936	158.27	1.8941e+12	0.95340	1.0016
80.248	3.7358e+12	0.16932	0.54133	157.02	1.9093e+12	1.0445	1.0415
78.967	3.7964e+12	0.33069	0.51310	155.78	1.9244e+12	1.0459	0.97754
77.727	3.8569e+12	0.42944	0.50321	154.57	1.9396e+12	1.0703	0.95884
76.526	3.9175e+12	0.41521	0.51590	153.37	1.9547e+12	1.0572	0.95240
75.361	3.9781e+12	0.58745	0.41997	152.19	1.9698e+12	1.0907	0.91770
74.230	4.0386e+12	0.75295	0.46619	151.03	1.9850e+12	1.1904	0.95696
73.134	4.0992e+12	0.87555	0.49452	149.89	2.0001e+12	1.2310	0.94189
