17 !  Pass2A pixel list file for Extract_Data
  254  ED_9012900_9013915	!  Map 5
  750  ED_9013915_9019318	!  Map 6
 1403  ED_9001902_9008001	!  Map 3
 1466  ED_8934301_9001902	!  Map 2
 2021  ED_9020811_9022004	!  Map 8
 2447  ED_9008001_9012823	!  Map 4
 2745  ED_9001902_9008001	!  Map 3
 3720  ED_9008001_9012823	!  Map 4
 3808  ED_8932800_8934301	!  Map 1
 4290  ED_9001902_9008001	!  Map 3
 4342  ED_9022005_9026409	!  Map 9
 4437  ED_9008001_9012823	!  Map 4
 5160  ED_9022005_9026409	!  Map 9
 5408  ED_9013915_9019318	!  Map 6
 5813  ED_9013915_9019318	!  Map 6
 5984  ED_9022005_9026409	!  Map 9
 6067  ED_9019318_9020711	!  Map 7
